order_id,order_date,coupon_code,book_purchased,order_total,bonus_payout,won_lottery,amazon_name
248788,2022-05-02 09:09:31,test_coupon,The Girl Upstairs,0.99,2.01,1,
248789,2022-05-03 09:52:30,test_coupon,Stateline,0.99,0.0,0,Stateline
253789,2022-05-03 12:49:04,test_coupon,A Ruin Of Roses,2.99,0.009999999999999787,1,A Ruin of Roses (Deliciously Dark Fairytales Book 1)
253791,2022-05-03 13:43:32,test_c,Into The Breach,2.99,0.009999999999999787,1,Into the Breach: A Space Adventure Legend (Gateway to the Galaxy Book 1)
253796,2022-05-03 13:56:40,test_c,Into The Breach,2.99,0.0,0,Into the Breach: A Space Adventure Legend (Gateway to the Galaxy Book 1)
253797,2022-05-03 13:58:29,test_c,Into The Breach,2.99,0.0,0,Into the Breach: A Space Adventure Legend (Gateway to the Galaxy Book 1)
253798,2022-05-03 13:59:40,test_c,Into The Breach,2.99,0.0,0,Into the Breach: A Space Adventure Legend (Gateway to the Galaxy Book 1)
253799,2022-05-03 16:40:29,test_c,Into The Breach,2.99,0.009999999999999787,1,Into the Breach: A Space Adventure Legend (Gateway to the Galaxy Book 1)
253800,2022-05-04 08:53:24,test_c,A Ruin Of Roses,2.99,0.0,0,A Ruin of Roses (Deliciously Dark Fairytales Book 1)
254014,2022-05-06 17:49:01,test_c,Time Limits,1.99,0.0,0,Time Limits: A Marc McKnight Time Travel Adventure (Marc McKnight Time Travel Adventures Book 1)
254217,2022-05-09 12:21:45,test_c,Pestilence,2.99,0.009999999999999787,1,Pestilence (The Four Horsemen Book 1)
254420,2022-05-10 09:35:50,n6on10,Mrs. Kennedy And Me,1.99,1.01,1,Mrs. Kennedy and Me: An Intimate Memoir
254421,2022-05-10 10:08:02,eh6d10,Every Little Secret,0.99,0.0,0,Every Little Secret: A new suspense-packed psychological thriller for 2022!
254422,2022-05-10 10:19:31,s2vb10,Whispers Of Ruin,2.99,0.0,0,Whispers of Ruin: An Epic Fantasy Saga (The Famine Cycle #1)
254423,2022-05-10 10:32:14,test_c,Stateline,0.99,2.01,1,Stateline
254627,2022-05-10 10:56:04,test_c,There's A Bear In The House!,1.99,1.01,1,There's a Bear In the House!
254628,2022-05-10 11:42:22,j2pm16,There's A Bear In The House!,1.99,1.01,1,There's a Bear In the House!
254730,2022-05-11 12:23:21,djmg50,The Golden Girls' Getaway,0.99,0.0,0,"The Golden Girls' Getaway: The perfect feel-good, funny read from USA Today bestseller Judy Leigh for 2022"
254731,2022-05-11 12:23:57,ufdu64,The Lost Girl In Paris,0.99,2.01,1,The Lost Girl in Paris: A brand new gripping and heartbreaking WW2 historical novel for 2022
254732,2022-05-11 12:24:54,oxeq54,A Perfect Lady For The Beastly Duke,0.99,2.01,1,A Perfect Lady for the Beastly Duke: A Historical Regency Romance Novel
254733,2022-05-11 12:25:19,rdks11,Trayvon: Ten Years Later,1.99,0.0,0,Trayvon: Ten Years Later
254734,2022-05-11 12:25:54,chsw15,Kingdoms At War,0.99,0.0,0,Kingdoms at War: An Epic Fantasy Adventure (Dragon Gate Book 1)
254735,2022-05-11 12:25:58,0h5l15,The Making Of The Godfather,0.99,0.0,0,The Making of the Godfather
254736,2022-05-11 12:28:27,9nlu14,Stateline,0.99,2.01,1,Stateline
254737,2022-05-11 12:28:49,6opf22,Claimed,0.99,0.0,0,Claimed: A Sci-Fi Alien Romance (Fated Mates of the Kalixian Warriors Book 1)
254738,2022-05-11 12:28:58,tqga22,Herland,0.99,0.0,0,"Herland (1915) (includes ""The Yellow Wallpaper"")"
254739,2022-05-11 12:29:00,t7jy72,Time Limits,1.99,1.01,1,Time Limits: A Marc McKnight Time Travel Adventure (Marc McKnight Time Travel Adventures Book 1)
254740,2022-05-11 12:30:11,rmdm42,I Survived To Tell,0.99,0.0,0,I Survived to Tell: A Holocaust Memoir about Survival in the Warsaw Ghetto and 7 Camps
254741,2022-05-11 12:31:36,t3cs27,Relics Of Utopia,0.99,2.01,1,Relics of Utopia (Starship Gilead Book 1)
254742,2022-05-11 12:31:55,rxux54,The Accidental Demon Slayer,0.99,2.01,1,The Accidental Demon Slayer (Biker Witches Mystery Book 1)
254743,2022-05-11 12:32:11,9r8j21,The Accidental Demon Slayer,0.99,2.01,1,The Accidental Demon Slayer (Biker Witches Mystery Book 1)
254744,2022-05-11 12:33:22,lo9c12,The Snowdonia Killings,2.99,0.0,0,The Snowdonia Killings: A Snowdonia Murder Mystery Book 1 (A DI Ruth Hunter Crime Thriller)
254745,2022-05-11 12:33:50,cbqi66,Stateline,0.99,2.01,1,Stateline
254746,2022-05-11 12:36:59,1ueq75,The Secret Of Giza,0.99,0.0,0,The Secret of Giza (The Kwan Thrillers Book 1)
254747,2022-05-11 12:39:00,nnvj50,Truck Driver,0.99,0.0,0,Truck Driver
254748,2022-05-11 12:40:35,0n8p42,The Making Of The Godfather,0.99,0.0,0,The Making of the Godfather
254749,2022-05-11 12:43:45,bgbx60,Every Little Secret,0.99,0.0,0,Every Little Secret: A new suspense-packed psychological thriller for 2022!
254750,2022-05-11 12:44:14,otie52,The Accidental Demon Slayer,0.99,2.01,1,The Accidental Demon Slayer (Biker Witches Mystery Book 1)
254751,2022-05-11 12:46:28,ptmj12,Into The Breach,2.99,0.0,0,Into the Breach: A Space Adventure Legend (Gateway to the Galaxy Book 1)
254752,2022-05-11 12:46:36,vaac13,Stateline,0.99,2.01,1,Stateline
254753,2022-05-11 12:47:12,vhke45,The Secret Of Giza,0.99,0.0,0,The Secret of Giza (The Kwan Thrillers Book 1)
254754,2022-05-11 12:50:53,iw6i63,Relics Of Utopia,0.99,2.01,1,Relics of Utopia (Starship Gilead Book 1)
254755,2022-05-11 12:53:01,aaup11,I Survived To Tell,0.99,0.0,0,I Survived to Tell: A Holocaust Memoir about Survival in the Warsaw Ghetto and 7 Camps
254756,2022-05-11 12:53:07,ykez57,Truck Driver,0.99,2.01,1,Truck Driver
254757,2022-05-11 12:55:40,mogz60,The Lost Girls Of Ireland,0.99,0.0,0,The Lost Girls Of Ireland
254758,2022-05-11 12:57:53,gd6v65,A Ruin Of Roses,2.99,0.009999999999999787,1,A Ruin of Roses (Deliciously Dark Fairytales Book 1)
254759,2022-05-11 13:00:06,idmh50,The Perfect Suitor,0.99,0.0,0,The Perfect Suitor: A gripping psychological thriller with a shocking twist
254760,2022-05-11 13:01:25,omd041,Every Little Secret,0.99,2.01,1,Every Little Secret: A new suspense-packed psychological thriller for 2022!
254761,2022-05-11 13:02:08,8ica42,Primordial Earth,0.99,0.0,0,"Primordial Earth: Book 1 (The Extinction Series - A Prehistoric, Post-Apocalyptic, Sci-Fi Thriller)"
254762,2022-05-11 13:08:10,jy9k23,I Survived To Tell,0.99,0.0,0,I Survived to Tell: A Holocaust Memoir about Survival in the Warsaw Ghetto and 7 Camps
254763,2022-05-11 13:09:10,objn20,A Ruin Of Roses,2.99,0.0,0,A Ruin of Roses (Deliciously Dark Fairytales Book 1)
254764,2022-05-11 13:09:28,ajt034,Stateline,0.99,0.0,0,Stateline
