No.,Title,Redemption link,Provide recipient name,Provide recipient email
1,"Primordial Earth: Book 1 (The Extinction Series - A Prehistoric, Post-Apocalyptic, Sci-Fi Thriller)",https://www.amazon.com/kindle/redeem/?t=GSCTVU4S5JA4QZW
2,"Primordial Earth: Book 1 (The Extinction Series - A Prehistoric, Post-Apocalyptic, Sci-Fi Thriller)",https://www.amazon.com/kindle/redeem/?t=GSCC6B87A2Y6JQ4
3,"Primordial Earth: Book 1 (The Extinction Series - A Prehistoric, Post-Apocalyptic, Sci-Fi Thriller)",https://www.amazon.com/kindle/redeem/?t=GS8KYZ47X9K7QAC
4,"Primordial Earth: Book 1 (The Extinction Series - A Prehistoric, Post-Apocalyptic, Sci-Fi Thriller)",https://www.amazon.com/kindle/redeem/?t=GS7W6U7EHUBFQFU
5,"Primordial Earth: Book 1 (The Extinction Series - A Prehistoric, Post-Apocalyptic, Sci-Fi Thriller)",https://www.amazon.com/kindle/redeem/?t=GSEZGRHU62HC6B8
6,"Primordial Earth: Book 1 (The Extinction Series - A Prehistoric, Post-Apocalyptic, Sci-Fi Thriller)",https://www.amazon.com/kindle/redeem/?t=GSNB5NZTYFANPB8
7,"Primordial Earth: Book 1 (The Extinction Series - A Prehistoric, Post-Apocalyptic, Sci-Fi Thriller)",https://www.amazon.com/kindle/redeem/?t=GSUSZHBDRZCCCPZ
8,"Primordial Earth: Book 1 (The Extinction Series - A Prehistoric, Post-Apocalyptic, Sci-Fi Thriller)",https://www.amazon.com/kindle/redeem/?t=GSVQ87SVVQU4UMN
9,"Primordial Earth: Book 1 (The Extinction Series - A Prehistoric, Post-Apocalyptic, Sci-Fi Thriller)",https://www.amazon.com/kindle/redeem/?t=GS5JS9QQM6CYNJ8
10,"Primordial Earth: Book 1 (The Extinction Series - A Prehistoric, Post-Apocalyptic, Sci-Fi Thriller)",https://www.amazon.com/kindle/redeem/?t=GSQ4K79EXJFN7L7
11,"Primordial Earth: Book 1 (The Extinction Series - A Prehistoric, Post-Apocalyptic, Sci-Fi Thriller)",https://www.amazon.com/kindle/redeem/?t=GSARWRULMJBLQNM
12,"Primordial Earth: Book 1 (The Extinction Series - A Prehistoric, Post-Apocalyptic, Sci-Fi Thriller)",https://www.amazon.com/kindle/redeem/?t=GSL6U5YK9JMMK8X
13,"Primordial Earth: Book 1 (The Extinction Series - A Prehistoric, Post-Apocalyptic, Sci-Fi Thriller)",https://www.amazon.com/kindle/redeem/?t=GSDVXWMSCTVXCPV
14,"Primordial Earth: Book 1 (The Extinction Series - A Prehistoric, Post-Apocalyptic, Sci-Fi Thriller)",https://www.amazon.com/kindle/redeem/?t=GSKV8L8XV8WZ7SF
