asin,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Tags,passed_price_check,position,Description,ID,Regular Price,author,Categories,Images
B005GG0M0G,simple,kennedy101,Mrs. Kennedy And Me,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-95,"Jackie Kennedy's personal Secret Service agent details his very close relationship with the First Lady during the four years leading up to and following President John F. Kennedy's tragic assassination.\n\nIn those four years, Hill was by Mrs. Kennedy's side for some of the happiest moments as well as the darkest. He was there for the birth of John, Jr. on November 25, 1960, as well as for the birth and sudden death of Patrick Bouvier Kennedy on August 8, 1963. Three and a half months later, the unthinkable happened.\n\nForty-seven years after the assassination of President John F. Kennedy, the one vivid image that never leaves Clint Hill's mind is that of President Kennedy's head lying on Mrs. Kennedy's lap in the back seat of the limousine, his eyes fixed, blood splattered all over the back of the car, Mrs. Kennedy, and Hill as well. Sprawled on the trunk of the car as it sped away from Dealey Plaza, Hill clung to the sides of the car, his feet wedged in so his body was as high as possible.\n\nClint Hill jumped on the car too late to save the president, but all he knew after that first shot was that if more shots were coming, the bullets had to hit him instead of the First Lady.\n\nMrs. Kennedy's strength, class, and dignity over those tragic four days in November 1963 held the country together.\n\nThis is the story, told for the first time, of the man who perhaps held her together.",101,1.99,Clint Hill,Biography/Memoir,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/101.jpg
B01M4K3DUH,simple,rhapsodic401,Rhapsodic,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-94,"Callypso Lillis is a siren with a very big problem, one that stretches up her arm and far into her past. For the last seven years she's been collecting a bracelet of black beads up her wrist, magical IOUs for favors she's received. Only death or repayment will fulfill the obligations. Only then will the beads disappear.\n\nEveryone knows that if you need a favor, you go to the Bargainer to make it happen. He's a man who can get you anything you want - at a price. And everyone knows that sooner or later he always collects.\n\nBut for one of his clients, he's never asked for repayment. Not until now. When Callie finds the fae king of the night in her room, a grin on his lips and a twinkle in his eye, she knows things are about to change. At first it's just a chaste kiss-a single bead's worth-and a promise for more.\n\nFor the Bargainer, it's more than just a matter of rekindling an old romance. Something is happening in the Otherworld. Fae warriors are going missing one by one. Only the women are returned, each in a glass casket, a child clutched to their breast. And then there are the whispers among the slaves, whispers of an evil that's been awoken.\n\nIf the Bargainer has any hope to save his people, he'll need the help of the siren he spurned long ago. Only, his foe has a taste for exotic creatures, and Callie just happens to be one.",401,2.99,Laura Thalassa,Fantasy,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/401.jpg
B09CN4DNCP,simple,roses201,A Ruin Of Roses,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-93,"I could save him, but he would ruin me.\n\nThe beast.\nThe creature that stalks the forbidden wood.\nThe dragon prince.\n\nHe has suffered a fate worse than death. We all have. A curse put upon us by the mad king.\n\nWe are a kingdom locked in time. Shifters unable to feel our animals. Stuck here by a deal between the late king and a demon who seeks our destruction.\n\nThe only one keeping this kingdom alive is Nyfain, the golden prince to a stolen throne. The last dragon shifter.\n\nHe's our hope.\nHe's my nightmare.\n\nWhen he catches me trespassing in the forbidden wood, he doesn't punish me with death, as he's entitled.\n\nHe takes me, instead. Forces me back to the castle as his prisoner. Seeks to use me.\n\nApparently, I can save him. I can save the whole forgotten kingdom, locked away by the demon king's power.\n\nBut it would mean taming the monster beneath his skin. It would mean giving myself to him.\n\nIt would mean my ruin.",201,2.99,K.F. Breene,Romance,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/201.jpg
B09L6R4VTB,simple,system501,Left Out By The System,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-92,"Sometimes you wake up and just know your day is gonna suck.\n\nNow imagine waking from a three-year coma in an abandoned hospital, on an Earth that has recently fused with a different dimension. Yeah, it's one of those days.\n\nLast I remember I was valiantly saving my high school crush from the path of an oncoming truck. Now I'm a skin and bones weakling wearing nothing but my hospital gown. Has anyone seen my pants? Oh yeah, the world is also full of monsters, and I'm the only human left.\n\nIt turns out a godlike System evacuated humanity but decided to leave the vegetable in the bed. I can hardly blame it. From the moment my parents named me Lex Lurker, I was destined to be ignored. Everyone else has received a chance to prepare for what's to come in the Tutorial. Me, though? I've only gotten a snarky talking cat for a companion.\n\nI could crawl into a corner and wait to get eaten by a freaking kobold, but after years of being asleep I have a new appreciation for feeling alive. And for all the chaos, there are game-like rules and magical powers that could help me avoid becoming a meal and perhaps even thrive in this hellscape.\n\nBut first I'll have to find the tenacity to survive, the courage to fight, and the strength to face some dark truths about myself. Whispered voices call me the Hope of Humanity, but it turns out I might be the villain of this story.",501,2.99,Constantin Step,Science Fiction,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/501.jpg
B09N14LNG4,simple,secret301,Every Little Secret,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-91,"From the outside, it seems Grace has it all. Only she knows about the cracks in her picture-perfect life- and the huge secret behind them. After all, who can she trust?\n\nHer brother Josh is thousands of miles away, and he and Grace have never been close - he was always their parents' favourite.\n\nHer best friend Coco walked away from her years ago, their friendship irreparably fractured by the choices they've made.\n\nAnd her husband Marcus seems like a different man lately. Grace can't shake the feeling that he's hiding something.\n\nBut when her seven-year-old daughter makes a troubling accusation, Grace must choose between protecting her child and protecting her secret- before she loses everything.",301,0.99,Sarah Clarke,Mystery/Thriller,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/301.jpg
B000FBJHU8,simple,sunset102,Dead By Sunset,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-90,"When attorney Cheryl Keeton's brutally bludgeoned body was found in her van in the fast lane of an Oregon freeway, her husband, Brad Cunningham, was the likely suspect. But there was no solid evidence linking him to the crime. He married again, for the fifth time, and his stunning new wife, a physician named Sara, adopted his three sons. They all settled down to family life on a luxurious estate. But gradually, their marriage became a nightmare...\n\nIn this gripping account of Cheryl's murder, Ann Rule takes us from Brad's troubled boyhood to one of the most bizarre trials in legal history, uncovering multiple marriages, financial manipulations, infidelities, and monstrous acts of harassment and revenge along the way. Dead By Sunset is Ann Rule at her riveting best.",102,1.99,Ann Rule,Biography/Memoir,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/102.jpg
B09C2PWWNP,simple,darkness402,A Touch Of Darkness,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-89,"Persephone is the Goddess of Spring in title only. Since she was a little girl, flowers have only shriveled at her touch. After moving to New Athens, she hoped to lead an unassuming life disguised as a mortal journalist. All of that changes when she sits down in a forbidden nightclub to play a hand of cards with a hypnotic and mysterious stranger.\n\nHades, God of the Dead, has built a gambling empire in the mortal world and his favorite bets are rumored to be impossible. But nothing has ever intrigued him as much as the goddess offering him a bargain he can't resist.\n\nAfter her encounter with Hades, Persephone finds herself in a contract with the God of the Dead, and his terms are impossible: Persephone must create life in the Underworld or lose her freedom forever. The bet does more than expose Persephone's failure as a goddess, however. As she struggles to sow the seeds of her freedom, love for the God of the Dead grows-a love that is both captivating and forbidden.",402,2.99,Scarlett St. Clair,Fantasy,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/402.jpg
B09PMKXKX3,simple,rebound202,Rebound Love,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-88,"I'm falling for the rebound guy.\n\nHaving my heart broken sucked. I mean really sucked.\n\nMy friends are worried about me and convinced me that I need to pick myself up-and the best way to do that is with a rebound guy.\n\nThey think I need to forget about the man that broke my heart and made me feel worthless.\n\nBut it's still too fresh, and I'm not ready.\n\nAt least not until the cowboy shows up for a taste of my cherry pie and overhears the girls trying to convince me that I need to have some fun.\n\nSo him being the charming, true cowboy that he is, he volunteers his services.\n\nI figure why not? He's the exact opposite of my ex, so I take him up on his offer.\n\nBut when he's way too good to me and treats me just right, I start to fall for him. I mean, how could I not?\n\nWhat is it with me and impossible relationships? We agreed that he was going to be the rebound guy... but I never planned on falling for him.",202,2.99,Hope Ford,Romance,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/202.jpg
B07B6BRTJP,simple,pestilence502,Pestilence,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-87,"They came to earth-Pestilence, War, Famine, Death-four horsemen riding their screaming steeds, racing to the corners of the world. Four horsemen with the power to destroy all of humanity. They came to earth, and they came to end us all.\n\nWhen Pestilence comes for Sara Burn's town, one thing is certain: everyone she knows and loves is marked for death. Unless, of course, the angelic-looking horseman is stopped, which is exactly what Sara has in mind when she shoots the unholy beast off his steed.\n\nToo bad no one told her Pestilence can't be killed.\n\nNow the horseman, very much alive and very pissed off, has taken her prisoner, and he's eager to make her suffer. Only, the longer she's with him, the more uncertain she is about his true feelings towards her - and hers towards him.\n\nAnd now, well, Sara might still be able to save the world, but in order to do so, she'll have to sacrifice her heart in the process.",502,2.99,Laura Thalassa,Science Fiction,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/502.jpg
B09TYH5LZY,simple,alibi302,The Alibi,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-86,"Shortly after arriving in Eddyville, Kentucky, successful landscape architect James Flynn's entire world is turned\nupside down. In a good way, he thinks.\n\nAfter all, what could be better than having the two prettiest young ladies in Lyon County vying for his affections?\n\nSuddenly, one of them needs an alibi that only he can provide. All she needs is for him to say they've been together for the past four hours. How much trouble could that possibly cause?'",302,2.99,John Locke,Mystery/Thriller,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/302.jpg
B09D3H6ZDH,simple,bear103,There's A Bear In The House!,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-81,"The last wish of Walter Kirn's terminally ill father is to spend his final days in his remote Montana cabin. Trapped in life's loneliest predicament, he sticks with his pleasures: nature, Murder, She Wrote, and reminiscing with his adult son. The only thing Walter didn't foresee is the bear rooting outside his father's sickroom window - a bold and curious yearling with whom Walter forms a unique and consoling bond.",103,1.99,Walter Kirn,Biography/Memoir,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/103.jpg
B08W1WXY4H,simple,limits503,Time Limits,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-85,"An Army captain attempts to solve a fifty-year-old cold case murder with time travel and finds the girl of his dreams in the past.\n\nTime Limits is a story about time travel, a murder mystery, and a man's obsessive love for a woman he can't have.\n\nIn 1985, an executive was murdered in an Atlanta office building. Fifty years later, a powerful US Senator pressures a team of experts to use newly developed but limited Time Travel technology to investigate the cold case murder.\n\nArmy officer Marc McKnight undertakes the mission, but he barely arrives in the past before he prevents a young woman from meeting her future husband. To make matters worse, she is beautiful, smart, and full of life - and the one woman he cannot have.\n\nWith the help of his support team, McKnight races against time to set history back on the right track and solve the murder.",503,1.99,Kim Megahee,Science Fiction,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/503.jpg
B00HOV4GEO,simple,stateline303,Stateline,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-84,"When a tycoon's son is murdered the night before his wedding, the enraged and grief-stricken father offers private detective Dan Reno a life-changing bounty to find the killer. Reno, nearly broke, figures he's finally landed in the right place at the right time. It's a nice thought, but when a band of crooked cops get involved, Reno finds himself not only earning every penny of his paycheck, but also fighting for his life. \n\nWho committed the murder, and why? Which cops can he trust, if any? Haunted by his murdered father and a violent, hard drinking past, Reno wants no more blood on his hands. But a man's got to make a living, and backing off is not in his DNA. Traversing the snowy alpine winter in the Sierras and the lonely deserts of Nevada, Reno must revert to his old ways to survive. Because the fat bounty won't do him much good if he's dead.",303,0.99,Dave Stanton,Mystery/Thriller,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/03/stateline.jpg
