ad_condition,dual_response,purchased_203,purchased_303,pages_opened,clicked_203,clicked_303,session_duration,num_unique,num_unique_nonad,opened_second_page,genre_rank_purchased,ad_type
3,0,0,0,1,0,0,3.8333333,1,1,0,2,4ad
1,0,0,0,1,0,0,5.1999998,1,1,0,1,3ad
1,1,0,0,1,0,0,.81666666,1,1,0,5,3ad
3,1,0,0,1,0,0,1.7833333,1,1,0,3,4ad
5,1,0,0,1,0,0,3.1500001,1,1,0,3,2ad
3,1,0,0,1,0,0,.36666667,1,1,0,2,4ad
6,1,0,0,1,0,0,1.2166667,1,1,0,4,4ad
5,1,0,0,12,0,0,11.116667,13,13,1,2,2ad
1,1,0,0,9,0,0,7.1333332,1,1,1,2,3ad
5,0,0,0,1,0,0,1.4666667,1,1,0,2,2ad
5,0,0,0,1,0,0,7.1999998,1,1,0,5,2ad
5,1,0,0,1,0,0,.89999998,1,1,0,5,2ad
6,1,0,0,1,0,0,2.2166667,1,1,0,1,4ad
5,0,0,0,1,0,0,.55000001,1,1,0,2,2ad
6,1,0,0,1,0,0,.75,1,1,0,1,4ad
3,1,0,0,1,0,0,.89999998,1,1,0,1,4ad
4,0,0,0,1,0,0,1.7333333,1,1,0,5,3ad
2,1,0,0,1,0,0,1.0833334,1,1,0,4,2ad
6,0,0,0,1,0,0,1.35,1,1,0,2,4ad
2,1,0,0,1,0,0,.68333334,1,1,0,4,2ad
1,1,0,0,1,0,0,3.8666666,2,2,0,4,3ad
1,1,0,0,1,0,0,2.0333333,1,1,0,3,3ad
1,1,0,0,1,0,0,1.2,1,1,0,2,3ad
5,1,0,0,1,0,0,2.45,1,1,0,2,2ad
4,1,0,0,1,0,0,.69999999,1,1,0,5,3ad
2,1,0,0,1,0,0,1.3333334,1,1,0,3,2ad
6,1,0,0,1,0,0,1.6666666,1,1,0,1,4ad
5,0,0,0,13,0,1,8.833333,5,4,1,3,2ad
5,1,0,0,1,0,0,8.0333338,1,1,0,2,2ad
4,1,0,0,1,0,0,1.1833333,1,1,0,1,3ad
6,1,0,0,1,0,0,4.5666666,1,1,0,3,4ad
1,1,0,0,1,0,0,2.6666667,1,1,0,3,3ad
1,1,0,0,1,0,0,1.7333333,1,1,0,2,3ad
0,1,0,0,1,0,0,1.0166667,1,1,0,4,1ad
4,1,0,0,1,0,0,.48333332,1,1,0,4,3ad
1,1,0,0,1,0,0,2.6500001,1,1,0,5,3ad
2,1,0,0,1,0,0,2.2833333,1,1,0,3,2ad
4,1,0,0,6,0,0,3.8,1,1,1,1,3ad
1,0,0,0,1,0,0,5.5,1,1,0,1,3ad
3,1,0,0,10,1,0,5.6333332,6,5,1,3,4ad
3,1,0,0,1,0,0,8.8000002,2,2,0,5,4ad
1,1,0,0,1,0,0,.51666665,1,1,0,1,3ad
5,1,0,0,3,0,0,15.383333,3,3,1,2,2ad
1,1,0,0,9,0,0,7.0666666,4,4,1,4,3ad
5,,0,0,1,0,0,.73333335,1,1,0,2,2ad
4,0,0,0,1,0,0,1.9833333,1,1,0,5,3ad
5,1,0,0,1,0,0,13.133333,1,1,0,2,2ad
4,1,0,0,8,0,0,4.9000001,1,1,1,1,3ad
5,1,0,0,1,0,0,5.0833335,2,2,0,2,2ad
1,1,0,0,1,0,0,.58333331,1,1,0,4,3ad
2,0,0,0,1,0,0,4.2333331,1,1,0,2,2ad
0,0,0,0,5,0,0,3.1333334,1,1,1,1,1ad
3,1,0,0,10,0,0,8.1999998,5,5,1,1,4ad
3,1,0,0,1,0,0,1.0666667,1,1,0,5,4ad
3,1,0,0,1,0,0,1,1,1,0,5,4ad
6,1,0,0,10,0,0,6.0833335,2,2,1,3,4ad
4,1,0,0,4,1,0,4.1500001,2,1,1,1,3ad
5,0,0,0,1,0,0,.66666669,1,1,0,3,2ad
6,0,0,0,1,0,0,6.2333331,1,1,0,5,4ad
4,1,0,0,1,0,0,1.3666667,1,1,0,5,3ad
3,1,0,0,1,0,0,9.5500002,1,1,0,4,4ad
2,0,0,0,10,0,0,6.3333335,6,6,1,3,2ad
2,0,0,0,10,0,0,4.9000001,1,1,1,3,2ad
2,1,0,0,1,0,0,.89999998,1,1,0,5,2ad
4,0,0,0,3,0,0,1.5333333,1,1,1,3,3ad
2,1,0,0,1,0,0,.76666665,1,1,0,4,2ad
2,1,0,0,1,0,0,.85000002,1,1,0,5,2ad
5,1,0,0,1,0,0,2.7833333,1,1,0,1,2ad
2,0,0,0,1,0,0,3.0333333,1,1,0,1,2ad
3,0,0,0,5,0,0,2.1500001,1,1,1,1,4ad
6,1,0,0,1,0,0,1.6166667,1,1,0,2,4ad
5,1,0,0,1,0,0,.48333332,1,1,0,4,2ad
3,1,0,0,1,0,0,1.4666667,1,1,0,5,4ad
6,1,0,0,1,0,0,1.7833333,1,1,0,1,4ad
4,0,0,0,2,0,0,31.049999,3,3,1,1,3ad
6,0,0,0,1,0,0,3.4166667,1,1,0,4,4ad
1,0,0,0,1,0,0,1.5166667,1,1,0,1,3ad
1,1,0,0,1,0,0,1.15,1,1,0,4,3ad
1,1,0,0,1,0,0,1.3666667,1,1,0,2,3ad
6,1,0,0,1,0,0,7.5333333,2,2,0,5,4ad
3,0,0,0,1,0,0,.88333333,1,1,0,4,4ad
1,0,0,0,1,0,0,1.5,1,1,0,3,3ad
3,1,0,0,1,0,0,1.55,1,1,0,2,4ad
6,1,0,0,2,0,0,5.9833331,2,2,1,2,4ad
5,0,0,0,2,0,0,3.0999999,2,2,1,2,2ad
3,1,0,0,1,0,0,1.1833333,1,1,0,5,4ad
4,1,0,0,1,0,0,1.0166667,1,1,0,5,3ad
1,0,0,0,1,0,0,.94999999,1,1,0,2,3ad
1,1,0,0,2,0,0,1.6833333,1,1,1,2,3ad
3,1,0,0,1,0,0,2.0666666,1,1,0,2,4ad
3,1,0,0,1,0,0,.89999998,1,1,0,1,4ad
2,1,0,0,1,0,0,17.766666,16,16,0,1,2ad
5,0,0,0,1,0,0,10.683333,3,3,0,5,2ad
6,1,0,0,1,0,0,4.3833332,2,2,0,5,4ad
1,1,0,0,1,0,0,1.3666667,1,1,0,5,3ad
3,1,0,0,9,0,0,6.7833333,3,3,1,1,4ad
1,1,0,0,1,0,0,1.2666667,1,1,0,5,3ad
5,0,0,0,11,1,0,11.433333,14,13,1,1,2ad
4,1,0,0,2,0,0,29.9,3,3,1,1,3ad
4,1,0,0,1,0,0,.83333331,1,1,0,3,3ad
3,0,0,0,1,0,0,1.5166667,1,1,0,1,4ad
3,1,0,0,1,0,0,5.2833333,1,1,0,2,4ad
1,1,0,0,1,0,0,4.7166667,2,2,0,2,3ad
5,1,0,0,9,1,1,13.983334,9,7,1,2,2ad
5,1,0,0,1,0,0,.66666669,1,1,0,1,2ad
5,1,0,0,1,0,0,1.0333333,1,1,0,2,2ad
5,0,0,0,6,0,0,3.5,1,1,1,1,2ad
5,1,0,0,1,0,0,2.55,2,2,0,1,2ad
2,0,0,0,11,1,0,6.3166666,7,7,1,2,2ad
2,0,0,0,1,0,0,4.9499998,2,2,0,5,2ad
3,1,0,0,2,1,0,1.6333333,3,2,1,1,4ad
1,0,0,0,1,0,0,.94999999,1,1,0,1,3ad
2,1,0,0,1,0,0,10.233334,1,1,0,5,2ad
5,1,0,0,12,0,0,5.9499998,2,2,1,1,2ad
1,1,0,0,1,0,0,.64999998,1,1,0,5,3ad
1,1,0,0,9,0,0,3.45,1,1,1,3,3ad
5,1,0,0,1,0,0,2.8499999,1,1,0,3,2ad
4,1,0,0,6,0,0,3.0166667,1,1,1,2,3ad
4,1,0,0,2,0,0,2.75,2,2,1,1,3ad
6,1,0,0,1,0,0,3.8166666,1,1,0,2,4ad
2,1,0,0,5,0,0,7.4166665,5,5,1,5,2ad
5,1,0,0,5,0,0,4.5166669,1,1,1,1,2ad
5,0,0,0,10,0,0,2.55,1,1,1,2,2ad
2,1,0,0,1,0,0,1.3666667,1,1,0,2,2ad
6,0,0,0,10,0,0,3.7166667,1,1,1,3,4ad
1,1,0,0,1,0,0,1.5666667,1,1,0,3,3ad
6,0,0,0,1,0,0,12.833333,1,1,0,3,4ad
2,1,0,0,1,0,0,4.4833331,1,1,0,5,2ad
4,1,0,0,1,0,0,4.4333334,1,1,0,3,3ad
2,1,0,0,1,0,0,11.783334,3,3,0,1,2ad
4,1,0,0,1,0,0,4.5500002,1,1,0,4,3ad
0,1,0,0,8,0,0,3.3499999,1,1,1,4,1ad
1,0,0,0,1,0,0,1.1333333,1,1,0,2,3ad
6,1,0,0,1,0,0,.88333333,1,1,0,1,4ad
1,1,0,0,1,0,0,1.9666667,1,1,0,1,3ad
4,1,0,0,1,0,0,5.9666667,1,1,0,2,3ad
5,1,0,0,6,1,0,3.5333333,2,1,1,4,2ad
1,1,0,0,1,0,0,1.25,1,1,0,5,3ad
1,1,0,0,1,0,0,1.3666667,1,1,0,1,3ad
4,1,0,0,1,0,0,.81666666,1,1,0,5,3ad
1,0,0,0,1,0,0,1.1666666,1,1,0,3,3ad
6,0,0,0,1,0,0,.80000001,1,1,0,1,4ad
3,0,0,0,1,0,0,1.4333333,1,1,0,5,4ad
5,1,0,0,1,0,0,1.4166666,1,1,0,2,2ad
1,0,0,0,1,0,0,1.0166667,1,1,0,1,3ad
2,0,0,0,1,0,0,.80000001,1,1,0,1,2ad
6,1,0,0,3,0,0,20.549999,2,2,1,2,4ad
5,1,0,0,1,0,0,.58333331,1,1,0,4,2ad
2,1,0,0,5,0,0,5.6500001,1,1,1,2,2ad
5,0,0,0,1,0,0,.89999998,1,1,0,2,2ad
6,1,0,0,1,0,0,1.1833333,1,1,0,3,4ad
5,1,0,0,1,0,1,1.0333333,2,1,0,1,2ad
5,1,0,0,5,0,0,5.6666665,1,1,1,3,2ad
6,1,0,0,1,0,0,.66666669,1,1,0,3,4ad
4,1,0,0,1,0,0,.88333333,1,1,0,3,3ad
2,1,0,0,1,0,0,4.6666665,1,1,0,4,2ad
3,1,0,0,1,0,0,.98333335,1,1,0,4,4ad
5,1,0,0,1,1,0,12.366667,2,1,0,2,2ad
4,1,0,0,1,0,0,.60000002,1,1,0,1,3ad
1,1,0,0,1,0,0,.89999998,1,1,0,5,3ad
4,1,0,0,10,0,0,3.0999999,1,1,1,2,3ad
2,0,0,0,1,0,0,1.45,1,1,0,1,2ad
2,1,0,0,1,0,0,1.9333333,2,2,0,3,2ad
3,1,0,0,7,0,0,4.6333332,1,1,1,2,4ad
4,0,0,0,1,0,0,2.1666667,1,1,0,5,3ad
1,1,0,0,1,0,0,3.0833333,1,1,0,2,3ad
6,1,0,0,1,0,0,4.0333333,1,1,0,3,4ad
5,1,0,0,1,0,0,2.3333333,1,1,0,5,2ad
6,0,0,0,7,0,0,6.1666665,3,3,1,1,4ad
0,0,0,0,7,0,0,1.8,1,1,1,5,1ad
4,1,0,0,1,0,0,1.3333334,1,1,0,4,3ad
6,1,0,0,1,0,0,8.4333334,1,1,0,1,4ad
2,1,0,0,1,0,0,5.0666666,1,1,0,2,2ad
6,1,0,0,1,0,0,.93333334,1,1,0,1,4ad
0,1,0,0,1,0,0,1.4166666,1,1,0,4,1ad
4,0,0,0,3,0,0,1.1166667,1,1,1,1,3ad
5,1,0,0,11,0,0,5.6333332,3,3,1,1,2ad
5,0,0,0,1,0,0,5.9666667,1,1,0,2,2ad
6,1,0,0,1,0,0,.58333331,1,1,0,4,4ad
1,1,0,0,6,0,0,4.3499999,2,2,1,1,3ad
6,1,0,0,1,0,0,1.3666667,1,1,0,3,4ad
0,0,0,0,1,0,0,4.3666668,1,1,0,3,1ad
1,0,0,0,1,0,0,1.0833334,1,1,0,1,3ad
2,0,0,0,1,0,0,2.95,1,1,0,3,2ad
0,1,0,0,1,0,0,1.5666667,1,1,0,5,1ad
6,1,0,0,1,0,0,1.15,1,1,0,4,4ad
5,1,0,0,1,0,0,13.566667,1,1,0,4,2ad
5,1,0,0,10,0,0,4.5166669,2,2,1,3,2ad
6,1,0,0,1,0,0,1.5333333,1,1,0,5,4ad
6,1,0,0,1,0,0,5.3000002,5,5,0,1,4ad
2,1,0,0,1,0,0,4.1333332,1,1,0,5,2ad
6,1,0,0,1,0,0,1.7,1,1,0,5,4ad
4,0,0,0,1,0,1,4.0166669,3,2,0,1,3ad
5,1,0,0,1,0,0,3.0833333,1,1,0,2,2ad
4,0,0,0,1,0,0,1.0333333,1,1,0,3,3ad
6,1,0,0,1,0,0,4,2,2,0,4,4ad
1,1,0,0,1,0,0,1.0666667,1,1,0,5,3ad
2,1,0,0,10,0,0,4.8000002,0,0,1,3,2ad
0,0,0,0,3,0,0,1.9,2,2,1,1,1ad
0,1,0,0,1,0,0,1.3,1,1,0,1,1ad
6,1,0,0,5,0,0,5.3499999,1,1,1,1,4ad
3,1,0,0,1,0,0,4.25,1,1,0,1,4ad
4,1,0,0,1,0,1,1.05,2,1,0,4,3ad
6,1,0,0,1,0,0,7.3000002,1,1,0,3,4ad
3,1,0,0,1,0,0,1.5333333,1,1,0,2,4ad
3,1,0,0,1,0,0,.71666664,1,1,0,1,4ad
3,1,0,0,1,0,0,1.0166667,1,1,0,1,4ad
6,1,0,0,6,0,0,5.6666665,2,2,1,,4ad
5,1,0,0,1,0,0,1.5833334,1,1,0,5,2ad
2,1,0,0,5,0,0,2.3833334,1,1,1,1,2ad
6,0,0,0,1,0,0,.89999998,1,1,0,4,4ad
2,1,0,0,1,0,0,3.3333333,2,2,0,2,2ad
6,1,0,0,2,0,0,2.0166667,3,3,1,2,4ad
2,1,0,0,2,0,0,3.5833333,1,1,1,3,2ad
5,1,0,0,1,0,0,3.4166667,1,1,0,2,2ad
5,0,0,0,4,0,0,2.1833334,1,1,1,1,2ad
3,1,0,0,11,0,1,4.8833332,9,8,1,1,4ad
1,1,0,0,1,0,0,1.6833333,1,1,0,5,3ad
1,1,0,0,1,0,0,.88333333,1,1,0,3,3ad
5,1,0,0,1,0,0,1.4833333,2,2,0,4,2ad
6,1,0,0,1,0,0,.88333333,1,1,0,1,4ad
5,0,0,0,1,0,0,2.2,1,1,0,4,2ad
1,1,0,0,1,0,0,.94999999,1,1,0,3,3ad
0,1,0,0,1,0,0,.26666668,1,1,0,4,1ad
5,1,0,0,1,0,1,.91666669,2,1,0,4,2ad
5,0,0,0,3,0,0,5.8833332,2,2,1,1,2ad
5,0,0,0,1,0,0,.94999999,1,1,0,2,2ad
6,1,0,0,1,0,0,.33333334,1,1,0,2,4ad
